ITEM_A_KEY,ITEM_A_NAME,ITEM_A_CATEGORY,ITEM_B_KEY,ITEM_B_NAME,ITEM_B_CATEGORY,PAIR_PURCHASES,ITEM_A_PURCHASES,ITEM_B_PURCHASES,SUPPORT_PCT,CONFIDENCE_A_TO_B_PCT,CONFIDENCE_B_TO_A_PCT,LIFT
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",Crisp & Snacks,105,7081,1632,0.111,1.48,6.43,0.862
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",5dcef824f2fd5224744a86e4c7dd250d,"Crunchips Cheese & Onion Crisps, 150 g",Crisp & Snacks,102,7081,1308,0.108,1.44,7.80,1.044
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",d3dffe73c943311024ef5b4b71e3f598,"Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,102,7081,1741,0.108,1.44,5.86,0.785
5dcef824f2fd5224744a86e4c7dd250d,"Crunchips Cheese & Onion Crisps, 150 g",Crisp & Snacks,dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,100,1308,1244,0.105,7.65,8.04,5.827
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,9457e16e60a76e40ad486d39b0c4a8b1,"Frigeo Crispy Puffed Rice, 80 g",Other Confectionary,96,29712,260,0.101,0.32,36.92,1.178
7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,b9c5d856f0380ca92e558a81c1a0c686,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g",Chocolate,94,2048,1084,0.099,4.59,8.67,4.015
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,e2c5b07e1f589fe7597d6f7318ea1838,"Griesson Soft Cake Orange, 300 g",Cookies,94,29712,596,0.099,0.32,15.77,0.503
0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",Crisp & Snacks,2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",90,1499,7081,0.095,6.00,1.27,0.804
07416ecd652da9d161c5113764ce6f90,"Takis Fuego, 100 g",Crisp & Snacks,971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml","Cheese Crackers, Breadsticks & Dipping",87,1064,1854,0.092,8.18,4.69,4.182
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Chocolate,7576ff6ee76ca4dfc28bf4fbaaf08465,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",Chocolate,84,2092,1402,0.089,4.02,5.99,2.716
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,c8985169d2c82050e3f8ef7f73451c8d,"Storck Riesen Chocolate Toffees, 231 g","Toffee, Fudge & Nougat",83,29712,177,0.088,0.28,46.89,1.497
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",Crisp & Snacks,81,7081,1608,0.085,1.14,5.04,0.675
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,b920b20ae65b43819f8696b2a6efcb21,"Ferrero Nutella Nut Nougat Cream, 750 g",Chocolate & Sweet Spreads,79,29712,335,0.083,0.27,23.58,0.753
a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,75,1944,1244,0.079,3.86,6.03,2.941
64f36aa14d1921b5f20921a6fb8b8bc0,"Chio Tortillas Original Salted, 110 g",Crisp & Snacks,971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml","Cheese Crackers, Breadsticks & Dipping",74,1365,1854,0.078,5.42,3.99,2.773
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,8848e81faf793f35004c01e760863f14,"Giotto Hazelnut Pastry, (4 bars), 154 g","Toffee, Fudge & Nougat",71,29712,260,0.075,0.24,27.31,0.871
2b8d65b915a044b3570fd7f8a3a7d065,"Pom-Bär Original, 75 g",Crisp & Snacks,971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml","Cheese Crackers, Breadsticks & Dipping",70,1105,1854,0.074,6.33,3.78,3.240
1b2aa51424dae1f208c314d58ae8e180,"Milka Schokolade Cookie Sensations Oreo Creme, 156 g",Cookies,de2d83ff88ef56053a06b1e8686c5577,"Alnavit Chocolate Cookies, 125 g",Cookies,69,773,1096,0.073,8.93,6.30,7.723
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",Crisp & Snacks,514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",Crisp & Snacks,69,1971,1632,0.073,3.50,4.23,2.034
dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,ec3986f69034113171d2dd2bac845401,"Fuego salsa dip, hot, 200 ml","Cheese Crackers, Breadsticks & Dipping",67,1244,1115,0.071,5.39,6.01,4.580
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Chocolate,7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,67,2092,2048,0.071,3.20,3.27,1.483
13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",Crisp & Snacks,9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",Crisp & Snacks,65,1622,1608,0.069,4.01,4.04,2.363
64f36aa14d1921b5f20921a6fb8b8bc0,"Chio Tortillas Original Salted, 110 g",Crisp & Snacks,898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml","Cheese Crackers, Breadsticks & Dipping",63,1365,1292,0.066,4.62,4.88,3.387
de2d83ff88ef56053a06b1e8686c5577,"Alnavit Chocolate Cookies, 125 g",Cookies,edb0f4aa63864fc9a85372d15cb65440,Ja! Cookies American Style Chocolate Chip 225 g,Cookies,62,1096,1365,0.065,5.66,4.54,3.930
1d3842663f6e6e8ab20a245bc43b72a0,"Knoppers Crispy Wafer, (8x25 g), 200 g",Chocolate,7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,62,1108,2048,0.065,5.60,3.03,2.591
03b69ef76960b93651906fa51bb5d44c,"Cadbury Milk Caramel Chocolate, 180 g",Chocolate,92d78ca20860dd50a1748fe2b0c8dc78,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g",Other Confectionary,61,931,910,0.064,6.55,6.70,6.827
a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,ec3986f69034113171d2dd2bac845401,"Fuego salsa dip, hot, 200 ml","Cheese Crackers, Breadsticks & Dipping",60,1944,1115,0.063,3.09,5.38,2.625
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",Crisp & Snacks,5dcef824f2fd5224744a86e4c7dd250d,"Crunchips Cheese & Onion Crisps, 150 g",Crisp & Snacks,58,1971,1308,0.061,2.94,4.43,2.133
971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml","Cheese Crackers, Breadsticks & Dipping",dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,57,1854,1244,0.060,3.07,4.58,2.343
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",Crisp & Snacks,13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",Crisp & Snacks,56,1971,1622,0.059,2.84,3.45,1.661
2b8d65b915a044b3570fd7f8a3a7d065,"Pom-Bär Original, 75 g",Crisp & Snacks,898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml","Cheese Crackers, Breadsticks & Dipping",55,1105,1292,0.058,4.98,4.26,3.653
61d7a42ecec8482529b308f32ff598b1,"Hanuta Hazelnut Slice, (10x22 g), 220 g",Chocolate,7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,55,1057,2048,0.058,5.20,2.69,2.409
898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml","Cheese Crackers, Breadsticks & Dipping",a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,55,1292,1944,0.058,4.26,2.83,2.076
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Chocolate,564b722b1d92225859390ea030ddd983,"Ferrero Kinder Bueno White Chocolate Bar, (6x19,5 g), 117 g",Chocolate,54,2092,1363,0.057,2.58,3.96,1.796
898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml","Cheese Crackers, Breadsticks & Dipping",dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,53,1292,1244,0.056,4.10,4.26,3.127
514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",Crisp & Snacks,d3dffe73c943311024ef5b4b71e3f598,"Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,53,1632,1741,0.056,3.25,3.04,1.769
07416ecd652da9d161c5113764ce6f90,"Takis Fuego, 100 g",Crisp & Snacks,ec3986f69034113171d2dd2bac845401,"Fuego salsa dip, hot, 200 ml","Cheese Crackers, Breadsticks & Dipping",50,1064,1115,0.053,4.70,4.48,3.996
564b722b1d92225859390ea030ddd983,"Ferrero Kinder Bueno White Chocolate Bar, (6x19,5 g), 117 g",Chocolate,7576ff6ee76ca4dfc28bf4fbaaf08465,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",Chocolate,50,1363,1402,0.053,3.67,3.57,2.481
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,97cf2b65eb7bffb35913eaa9234cef6e,"Storck Dickmann’s Schoko Strolche Chocolate Kisses, (10 units), 83 g",Other Confectionary,50,29712,73,0.053,0.17,68.49,2.186
